uid,monolayer1,monolayer2,C33_DFT
B1N1_Ti1S2,B1N1,Ti1S2,186.14700000000002
B1N1_Ga2Se2,B1N1,Ga2Se2,135.211
B1N1_In2S2,B1N1,In2S2,132.72
C2_Ga2Se2,Ga2Se2,C2,130.14
Pt1S2_Ta1Se2,Pt1S2,Ta1Se2,126.911
C2_Ti1Te2,C2,Ti1Te2,125.814
B1N1_Ti1Te2,B1N1,Ti1Te2,123.72
B1N1_Zn1O1,B1N1,Zn1O1,111.90799999999999
Nb1Te2-T1_Pd1Te2,Pd1Te2,Nb1Te2-T1,108.21799999999999
Ni1S2_Ta1Se2,Ni1S2,Ta1Se2,98.37799999999999
Re1Te2_Re1Te2,Re1Te2,Re1Te2,86.0
Nb1Te2-T1_Ni1Te2,Ni1Te2,Nb1Te2-T1,85.26299999999999
Hf1S2-T1_W1Te2,Hf1S2-T1,W1Te2,83.008
Nb1Te2-T1_Pd1S2,Pd1S2,Nb1Te2-T1,80.256
Hf1Te2_Hf1Te2-T1,Hf1Te2,Hf1Te2-T1,79.65100000000001
Nb1Te2_Ni1S2,Nb1Te2,Ni1S2,77.972
Hf1S2_Ni1S2,Hf1S2,Ni1S2,76.058
C2_Cd1O1,Cd1O1,C2,74.08
Nb1S2_Zn1O1,Nb1S2,Zn1O1,69.311
Ni1S2_Pd1Te2,Ni1S2,Pd1Te2,69.108
Pd1Te2_Pd1Te2,Pd1Te2,Pd1Te2,68.642
Ni1Te2_Pd1Te2,Ni1Te2,Pd1Te2,67.57
Pt1Te2_Pt1Te2,Pt1Te2,Pt1Te2,67.468
Mo1Te2-T1_Pd1Te2,Pd1Te2,Mo1Te2-T1,62.013000000000005
Nb1Se2-T1_Pd1Se2,Pd1Se2,Nb1Se2-T1,61.488
Mo1Se2-T1_Ta1S2,Mo1Se2-T1,Ta1S2,59.638000000000005
Nb1S2-T1_W1Se2,Nb1S2-T1,W1Se2,58.978
Pt1Se2_Pt1Te2,Pt1Se2,Pt1Te2,58.323
Hf1S2-T1_Mo1Te2,Mo1Te2,Hf1S2-T1,57.918
Pt1Se2_Pt1Se2,Pt1Se2,Pt1Se2,55.172
Re1Se2_Ta1Cl2,Re1Se2,Ta1Cl2,54.927
Ni1S2_Ni1S2,Ni1S2,Ni1S2,54.052
Mo1Te2_Ni1S2,Mo1Te2,Ni1S2,53.751000000000005
Ni1S2_Ni1Te2,Ni1S2,Ni1Te2,52.78
Nb1S2-T1_Nb1S2-T1,Nb1S2-T1,Nb1S2-T1,51.718999999999994
Ni1Se2_Ni1Se2,Ni1Se2,Ni1Se2,51.45399999999999
Nb1S2-T1_Nb1Se2-T1,Nb1S2-T1,Nb1Se2-T1,51.36
Ni1S2_W1Te2,Ni1S2,W1Te2,49.73
Pd1S2_Ti1Se2,Pd1S2,Ti1Se2,49.721000000000004
Hf1S2-T1_Hf1Se2,Hf1Se2,Hf1S2-T1,49.581
Mo1Te2-T1_Nb1Se2,Nb1Se2,Mo1Te2-T1,49.248999999999995
Ni1Se2_Re1S2,Ni1Se2,Re1S2,48.917
Nb1Se2_Re1Te2,Nb1Se2,Re1Te2,48.178000000000004
Re1Se2_W1Cl2,Re1Se2,W1Cl2,47.971000000000004
Ta1Te2_Ta1Te2,Ta1Te2,Ta1Te2,47.385
Pd1Te2_Ti1Se2,Pd1Te2,Ti1Se2,47.269
Pd1S2_Pd1Te2,Pd1S2,Pd1Te2,47.001999999999995
Nb1Se2-T1_Nb1Se2-T1,Nb1Se2-T1,Nb1Se2-T1,46.92100000000001
Pt1Se2_Ta1Te2,Pt1Se2,Ta1Te2,46.797
Re1Te2_Ti1Se2,Re1Te2,Ti1Se2,46.42100000000001
Ni1Te2_Ni1Te2,Ni1Te2,Ni1Te2,46.416000000000004
Nb1Se2_Pd1S2,Nb1Se2,Pd1S2,46.358000000000004
Nb1Se2-T1_Re1Te2,Re1Te2,Nb1Se2-T1,46.349
Nb1S2-T1_Ta1S2,Nb1S2-T1,Ta1S2,45.751000000000005
Nb1S2-T1_Ti1S2,Nb1S2-T1,Ti1S2,45.265
Ni1Te2_Pd1S2,Ni1Te2,Pd1S2,44.982
Re1Te2_Ta1Se2,Re1Te2,Ta1Se2,44.881
Nb1S2-T1_Re1S2,Re1S2,Nb1S2-T1,43.945
Mo1Se2-T1_Nb1S2,Nb1S2,Mo1Se2-T1,43.398999999999994
Mo1Se2_Nb1S2,Mo1Se2,Nb1S2,41.888000000000005
Hf1Se2-T1_Ta1Te2,Hf1Se2-T1,Ta1Te2,41.449
W1Te2_W1Te2,W1Te2,W1Te2,40.454
Hf1Se2-T1_Pt1Te2,Pt1Te2,Hf1Se2-T1,40.344
Ni1Te2_Ta1Se2,Ni1Te2,Ta1Se2,40.111
Pd1Te2_Ta1Se2,Pd1Te2,Ta1Se2,40.080999999999996
Hf1S2-T1_Pt1Te2,Pt1Te2,Hf1S2-T1,39.943000000000005
Nb1S2-T1_Pd1Se2,Pd1Se2,Nb1S2-T1,39.739000000000004
Nb1Te2_Nb1Te2-T1,Nb1Te2,Nb1Te2-T1,39.501999999999995
Nb1Se2_Pd1Se2,Nb1Se2,Pd1Se2,39.253
Mo1Te2-T1_Nb1Te2-T1,Mo1Te2-T1,Nb1Te2-T1,38.184
Mo1Te2_W1Te2,Mo1Te2,W1Te2,38.099000000000004
Nb1Te2_W1Te2,Nb1Te2,W1Te2,38.082
Nb1Se2-T1_Ta1Se2,Nb1Se2-T1,Ta1Se2,37.835
Mo1Te2_Mo1Te2,Mo1Te2,Mo1Te2,37.779
Nb1S2_W1Se2,Nb1S2,W1Se2,37.637
Hf1S2-T1_Ta1Te2,Hf1S2-T1,Ta1Te2,37.089
Nb1S2_Re1S2,Nb1S2,Re1S2,36.954
Ti1Se2_W1Te2,Ti1Se2,W1Te2,36.804
Nb1Se2_Nb1Se2,Nb1Se2,Nb1Se2,36.741
Hf1S2_Mo1Te2-T1,Hf1S2,Mo1Te2-T1,36.541
Ta1Cl2_W1Cl2,Ta1Cl2,W1Cl2,36.056
Ta1Te2_W1Te2,Ta1Te2,W1Te2,36.054
Mo1Te2-T1_Mo1Te2-T1,Mo1Te2-T1,Mo1Te2-T1,36.037
Mo1Te2-T1_Ta1Se2,Mo1Te2-T1,Ta1Se2,35.94
Nb1S2_Ta1S2,Nb1S2,Ta1S2,35.87
Mo1Se2_Nb1S2-T1,Mo1Se2,Nb1S2-T1,35.8
Hf1Se2_Pt1Te2,Hf1Se2,Pt1Te2,35.666
Ga2S2_Ga2S2,Ga2S2,Ga2S2,35.316
Nb1S2_Nb1S2-T1,Nb1S2,Nb1S2-T1,35.134
Hf1Se2_Pt1Se2,Hf1Se2,Pt1Se2,34.961
Ta1S2_Ta1S2,Ta1S2,Ta1S2,34.844
In2Se2_In2Se2,In2Se2,In2Se2,34.471
Pd1Te2_W1Te2,Pd1Te2,W1Te2,34.332
Ga2Se2_Ga2Se2,Ga2Se2,Ga2Se2,34.315
Ga2Se2_In2S2,Ga2Se2,In2S2,34.11
Mo1Se2_Ta1S2,Mo1Se2,Ta1S2,34.0
In2S2_In2S2,In2S2,In2S2,33.86
In2S2_Si2,In2S2,Si2,33.811
Nb1Se2_Nb1Se2-T1,Nb1Se2,Nb1Se2-T1,33.59
Ta1S2_Zn1O1,Ta1S2,Zn1O1,33.522
Nb1Se2_Ta1Se2,Nb1Se2,Ta1Se2,33.505
W1S2_W1S2,W1S2,W1S2,33.418
Pd1S2_Ta1Se2,Pd1S2,Ta1Se2,33.376
Mo1Te2_Pd1Te2,Mo1Te2,Pd1Te2,33.316
Nb1Te2-T1_Ta1Se2,Nb1Te2-T1,Ta1Se2,33.071999999999996
Mo1Se2-T1_Ti1S2,Mo1Se2-T1,Ti1S2,33.051
Mo1Se2_Mo1Se2,Mo1Se2,Mo1Se2,32.731
Ga2S2_Mo1Te2,Ga2S2,Mo1Te2,32.717
Nb1Te2_Pd1Te2,Nb1Te2,Pd1Te2,32.7
Ti1S2_Zn1O1,Ti1S2,Zn1O1,32.546
Mo1S2_W1S2,Mo1S2,W1S2,32.400999999999996
Ga2S2_Ta1Te2,Ga2S2,Ta1Te2,32.251
Ta1Se2_Ta1Se2,Ta1Se2,Ta1Se2,32.243
Pt1Te2_Ti1Te2,Pt1Te2,Ti1Te2,32.104
Hf1S2_Pd1Te2,Hf1S2,Pd1Te2,32.086
Pd1Se2_Pd1Se2,Pd1Se2,Pd1Se2,32.063
Hf1S2-T1_Hf1Se2-T1,Hf1S2-T1,Hf1Se2-T1,32.049
Ta1S2_W1Se2,Ta1S2,W1Se2,31.975
Ni1Te2_Ti1Se2,Ni1Te2,Ti1Se2,31.693
Pt1Te2_Ta1Te2,Pt1Te2,Ta1Te2,31.676
Ga2S2_Pt1Te2,Ga2S2,Pt1Te2,31.581
Hf1S2_Nb1Te2,Hf1S2,Nb1Te2,31.578000000000003
Nb1Te2-T1_Ni1S2,Ni1S2,Nb1Te2-T1,31.531999999999996
Nb1Te2_Ta1Se2,Nb1Te2,Ta1Se2,31.351
W1Cl2_W1Cl2,W1Cl2,W1Cl2,31.315
Mo1S2_Mo1S2,Mo1S2,Mo1S2,31.272
Ga2S2_Hf1Se2,Ga2S2,Hf1Se2,31.213
Ga2Se2_Si2,Ga2Se2,Si2,31.171999999999997
Mo1Se2_Ti1S2,Mo1Se2,Ti1S2,31.131
Hf1S2_W1Te2,Hf1S2,W1Te2,31.090999999999998
Pd1Se2_Ta1Se2,Pd1Se2,Ta1Se2,31.070999999999998
Mo1Te2_Ta1Te2,Mo1Te2,Ta1Te2,30.866
Ta1Cl2_Ta1Cl2,Ta1Cl2,Ta1Cl2,30.74
Mo1Se2_W1Se2,Mo1Se2,W1Se2,30.669
Mo1Te2-T1_Nb1Te2,Nb1Te2,Mo1Te2-T1,30.624000000000002
Hf1S2_Pd1S2,Hf1S2,Pd1S2,30.599
Mo1Te2_Nb1Te2,Mo1Te2,Nb1Te2,30.548000000000002
Hf1S2_Mo1Te2,Hf1S2,Mo1Te2,30.516
Hf1Se2_Ta1Te2,Hf1Se2,Ta1Te2,30.33
W1Se2_W1Se2,W1Se2,W1Se2,29.848000000000003
Nb1S2-T1_Pt1S2,Pt1S2,Nb1S2-T1,29.647
Nb1S2_Nb1S2,Nb1S2,Nb1S2,29.48
Pt1S2_Pt1S2,Pt1S2,Pt1S2,28.588
Mo1Se2_Zn1O1,Mo1Se2,Zn1O1,28.541999999999998
Hf1Se2-T1_Ti1Te2,Hf1Se2-T1,Ti1Te2,28.504
Nb1Se2_Pt1S2,Nb1Se2,Pt1S2,28.186
Mo1Se2_Mo1Se2-T1,Mo1Se2,Mo1Se2-T1,28.178
Re1S2_W1Se2,Re1S2,W1Se2,28.154
Hf1S2-T1_Pt1Se2,Pt1Se2,Hf1S2-T1,28.023000000000003
Mo1Te2_Ni1Te2,Mo1Te2,Ni1Te2,28.016
Hf1Se2-T1_Hf1Se2-T1,Hf1Se2-T1,Hf1Se2-T1,28.006
Ta1Cl2_W1S2,Ta1Cl2,W1S2,27.826
Re1S2-T1_Ta1Cl2,Re1S2-T1,Ta1Cl2,27.81
Nb1Te2-T1_Nb1Te2-T1,Nb1Te2-T1,Nb1Te2-T1,27.764
Pd1Se2_Ta1S2,Pd1Se2,Ta1S2,27.558000000000003
Nb1Se2_Ti1Se2,Nb1Se2,Ti1Se2,27.465
W1S2_W1S2-T1,W1S2-T1,W1S2,26.85
W1S2-T1_W1S2-T1,W1S2-T1,W1S2-T1,26.523000000000003
Ti1S2_W1Se2,Ti1S2,W1Se2,26.476
Nb1Te2-T1_W1Te2,Nb1Te2-T1,W1Te2,26.035
Re1S2-T1_Re1Se2,Re1Se2,Re1S2-T1,25.912
Mo1S2-T1_W1Cl2,Mo1S2-T1,W1Cl2,25.820999999999998
Pt1Se2_W1Te2,Pt1Se2,W1Te2,25.764
Mo1Se2_Ni1Se2,Mo1Se2,Ni1Se2,25.575
Mo1Te2_Pt1Se2,Mo1Te2,Pt1Se2,25.281999999999996
Pd1S2_W1Te2,Pd1S2,W1Te2,24.99
Hf1S2-T1_Hf1S2-T1,Hf1S2-T1,Hf1S2-T1,24.81
Nb1S2-T1_Zn1O1,Nb1S2-T1,Zn1O1,24.39
Re1Se2_Si1C1,Re1Se2,Si1C1,24.329
Nb1Te2_Nb1Te2,Nb1Te2,Nb1Te2,24.153000000000002
Mo1Se2-T1_Mo1Se2-T1,Mo1Se2-T1,Mo1Se2-T1,24.134
Mo1S2_W1S2-T1,Mo1S2,W1S2-T1,23.475
Mo1S2-T1_Ta1Cl2,Mo1S2-T1,Ta1Cl2,23.401999999999997
Ga2S2_Pt1Se2,Ga2S2,Pt1Se2,23.305
Ni1Te2_W1Te2,Ni1Te2,W1Te2,22.916
Nb1S2_Ti1S2,Nb1S2,Ti1S2,22.455
Hf1S2_Ta1Se2,Hf1S2,Ta1Se2,22.394000000000002
Mo1Te2-T1_Ti1Se2,Mo1Te2-T1,Ti1Se2,22.35
Re1S2_Re1S2,Re1S2,Re1S2,22.064
Nb1Te2-T1_Ti1Se2,Nb1Te2-T1,Ti1Se2,22.035
Ta1S2_Ti1S2,Ta1S2,Ti1S2,21.666999999999998
Hf1S2_Hf1S2,Hf1S2,Hf1S2,21.596999999999998
Mo1Te2-T1_Nb1Se2-T1,Mo1Te2-T1,Nb1Se2-T1,21.515
Mo1Te2-T1_Pd1Se2,Pd1Se2,Mo1Te2-T1,21.3
Hf1S2_Ni1Te2,Hf1S2,Ni1Te2,21.009
Mo1Te2-T1_Ni1S2,Ni1S2,Mo1Te2-T1,20.891
Mo1S2-T1_Mo1S2-T1,Mo1S2-T1,Mo1S2-T1,20.809
Si1C1_Ta1Cl2,Si1C1,Ta1Cl2,20.752
Ni1Se2_W1S2-T1,Ni1Se2,W1S2-T1,20.449
Mo1Te2-T1_Pt1S2,Pt1S2,Mo1Te2-T1,20.38
Hf1Se2_Hf1Se2-T1,Hf1Se2,Hf1Se2-T1,20.362000000000002
Mo1Se2-T1_Zn1O1,Mo1Se2-T1,Zn1O1,20.362000000000002
Cd1O1_Hf1Se2-T1,Cd1O1,Hf1Se2-T1,20.297
Hf1Se2_Hf1Se2,Hf1Se2,Hf1Se2,20.250999999999998
Mo1Te2_Nb1Te2-T1,Mo1Te2,Nb1Te2-T1,19.826
Ga2S2_Hf1Se2-T1,Ga2S2,Hf1Se2-T1,19.404
Re1S2-T1_Re1S2-T1,Re1S2-T1,Re1S2-T1,19.253
Ga2S2_Hf1S2-T1,Ga2S2,Hf1S2-T1,19.176
Ta1Se2_Ti1Se2,Ta1Se2,Ti1Se2,18.968
Hf1Te2-T1_Hf1Te2-T1,Hf1Te2-T1,Hf1Te2-T1,18.855
Mo1S2_Ta1Cl2,Mo1S2,Ta1Cl2,18.802
Si1C1_W1Cl2,Si1C1,W1Cl2,18.651
Si1C1_W1S2,Si1C1,W1S2,17.839000000000002
Hf1S2_Nb1Te2-T1,Hf1S2,Nb1Te2-T1,17.08
Hf1Se2-T1_Pt1Se2,Pt1Se2,Hf1Se2-T1,16.875
Mo1S2_Si1C1,Mo1S2,Si1C1,15.713
C2_C2,C2,C2,15.597000000000001
Mo1Se2-T1_W1Se2,Mo1Se2-T1,W1Se2,15.431
Cd1O1_Ti1Te2,Cd1O1,Ti1Te2,14.091
Nb1Te2_Ni1Te2,Nb1Te2,Ni1Te2,13.908
Ti1Te2_Ti1Te2,Ti1Te2,Ti1Te2,12.605
Mo1S2-T1_Si1C1,Si1C1,Mo1S2-T1,12.123
B1N1_B1N1,B1N1,B1N1,12.107999999999999
B1N1_C2,B1N1,C2,12.037
Si1C1_Si1C1,Si1C1,Si1C1,11.532
Mo1Te2-T1_Ni1Te2,Ni1Te2,Mo1Te2-T1,10.874
Re1S2-T1_Si1C1,Si1C1,Re1S2-T1,10.460999999999999
Re1S2_Zn1O1,Re1S2,Zn1O1,10.177
Nb1Te2_Ti1Se2,Nb1Te2,Ti1Se2,9.74
Hf1S2_Ti1Se2,Hf1S2,Ti1Se2,9.735
Zn1O1_Zn1O1,Zn1O1,Zn1O1,7.08
Hf1Te2_Hf1Te2,Hf1Te2,Hf1Te2,4.761
Ti1S2_Ti1S2,Ti1S2,Ti1S2,4.519
Ti1Se2_Ti1Se2,Ti1Se2,Ti1Se2,4.477
Cd1O1_Cd1O1,Cd1O1,Cd1O1,4.385
